입력 문장,도수,술 종류,맛,tokens
나는 달달한 칵테일을 마시고 싶어.,중간,칵테일,달달한,"['ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
도수가 낮은 상큼한 칵테일을 추천해줘.,낮은,칵테일,상큼한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
강한 도수의 쓴맛 나는 보드카 추천해줘.,높은,보드카,쓴맛,"['ᄀ', '##ᅡ', '##ᆼ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
부드럽고 달달한 위스키를 마셔보고 싶어.,높은,위스키,부드러운,"['ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᆸ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
상큼하고 도수가 낮은 럼주를 소개해줘.,낮은,럼,상큼한,"['ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄌ', '##ᅮ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄉ', '##ᅩ', '##ᄀ', '##ᅢ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
도수가 중간이고 달달한 보드카가 있나요?,중간,보드카,달달한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄀ', '##ᅡ', '[UNK]', '?']"
신맛이 나고 도수가 강한 술을 찾고 있어요.,높은,칵테일,신맛,"['[UNK]', 'ᄂ', '##ᅡ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄀ', '##ᅡ', '##ᆼ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.']"
도수가 약하고 부드러운 칵테일 추천 부탁해요.,낮은,칵테일,부드러운,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᄋ', '##ᅮ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.']"
쓴맛 나는 위스키를 마셔보고 싶어.,높은,위스키,쓴맛,"['[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
달달하고 상큼한 럼을 마시고 싶어요.,중간,럼,달달한,"['ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᄀ', '##ᅩ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
가볍고 부드러운 칵테일이 필요해요.,낮은,칵테일,부드러운,"['ᄀ', '##ᅡ', '##ᄇ', '##ᅧ', '##ᆸ', '##ᄀ', '##ᅩ', 'ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᄋ', '##ᅮ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄋ', '##ᅵ', 'ᄑ', '##ᅵ', '##ᆯ', '##ᄋ', '##ᅭ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.']"
진하고 쓴 럼을 추천해줄래?,높은,럼,쓴맛,"['ᄌ', '##ᅵ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᄀ', '##ᅩ', 'ᄊ', '##ᅳ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᆯ', '##ᄅ', '##ᅢ', '?']"
부드럽고 달달한 술이 있었으면 좋겠어요.,중간,칵테일,달달한,"['ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᆸ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅵ', '[UNK]', '[UNK]', '.']"
